Cognateset_ID,SourceCognateset_ID,Comment,Source_languoid,Source_form,Parallel_loan_event
5908,,,Turkish,meyve,false
6514,808,,Sanskrit,,true
5728,,,Latin or Norman French,sphaera / spere,false
8438,270,,Low German,spel(e),false
8186,5015,,Persian,,false
6462,6458,,Persian,dil,true
5789,2422,,Sanskrit,strī,true
3959,7532,,Sanskrit,mahilā,true
2186,,,Greek: Ancient,σπάθη / spáthē,false
5913,,,Turkish,yuvarlak,false
8159,703,,Persian,,true
6401,6629,,Persian,saxt,true
3032,,m.,Sanskrit,vicāra-,true
7163,,,Russian,думать / dumat',false
5953,,,Iranian,,false
5791,2419,,French,dame,false
2427,,,Sanskrit,nari,false
9580,,"Cf. Macedonian дише, Bulgarian дишам 'breathe'.",South Slavic,,false
8187,7535,,Persian,zard,false
8307,8233,,Old Norse,,false
5918,,,Turkish,kanat,false
5969,6778,"Cf. Parthian wz- 'to move swiftly, fly; travel'; cf. Ved.váhati, etc.",Iranic,,false
9581,,,South Slavic,,false
962,,,Old French,forest,true
3175,,,Middle High German,,false
8353,,"'hollow out, excavate'",Latin,excavāre,false
8190,,,Arabic (via Persian),,true
5907,,,Turkish,puslu,false
8309,,,Turkish,,true
9270,,,"Indo-Aryan (e.g. Gawri, Gawarbati)",sōč kärūɡ (Gawri); soč kerik (Gawarbati),false
5915,,,Italian,,false
1035,,or younger and < Old French tost?,Latin,tostus,false
8361,,'lake',Italian,lago,false
9583,,,Gaulish,,false
5477,,"‘burns’  T. 11097.1.  Loan because of ṣ, rather than s, after u.",Indic,*lūṣati,true
5342,,,Old Norse,taka,false
5726,1356,,Old Norse,skȳ,false
5910,,,Turkish,göl,false
8336,,"'tail; stern, rear' (but dubious connection)",Italian,coda,false
8310,,,Arabic,حشار,true
9584,,Cf. Macedonian корен 'root',South Slavic,,false
5794,171,,Sanskrit?,,true
9585,,Cf. Macedonian песок 'sand',South Slavic,,false
6316,,,Persian,rān,false
1809,,,Dravidian,,true
7795,6470,,,,true
8160,39,,Persian,,false
750,,"Probable loanword, but of uncertain origin (cf. KEWA I:405-406 for further discussion).",,,false
7398,,,,,false
9586,1941,Cf. Macedonian мазен 'smooth',South Slavic,,false
5706,2009,,Persian,نمک,true
7986,6198,,English,river,false
9587,1184,Cf. Macedonian мисли 'to think',South Slavic,,false
5624,2322,,,,false
3286,,,East Caucasian,,false
7968,,,English,,false
8397,,"''smoking, a smoke''",Italian,fumata,false
9588,,Cf. Slavic koža 'skin',Slavic,,false
7818,,‘wishes; wills’  T. 11431,Old Indo-Aryan,vašati,false
7938,,,Latin,penna,false
6031,146,,Persian,,true
7942,,'ladybug',Romanian,buburuză,false
8098,,,Germanic,,false
9589,1171,Cf. Slavic koža 'skin',Slavic,,false
5770,331,,,,false
8156,,,Arabic,šarr,false
6023,,,Latin,numerus,true
8196,3114,,Persian,,false
5698,2443,from Old French roont (1155) < Latin rotundum,Old French,roont,false
159,,,?Turkic,*hulu-,false
4485,,,,,false
5775,333,,Persian/Tajik,garm,true
7043,,,,,false
1041,,uncertain whether loan or inherited (or a mix?),Latin,tendere,false
7046,,,Sanskrit,ākāśa-,true
5329,,,English,"bit, bite",false
4358,867,,Latin,siccus,false
6544,,,Turkish,murdar,false
3905,,,Dravidian,,false
6435,,,Old French,vile,false
5855,754,,,,true
5322,3111,"Early loanword event in Latin (already attested Ennius, late 3rd - early 2nd c. BCE).",Ancient Greek,"ἄηρ, ἀέρος",false
5813,2877,,Middle Iranian,*hampu-,false
101,,,,,true
8834,6629,"The donor language surely is Persian, although this word is a loanword in Persian as well.",Middle or New Persian,saxt,true
6525,730,,Sanskrit,samudrá-,true
3182,,,Greek: Ancient,βαλανεῖον / balaneĩon,false
8394,,,Southern Italian dialects,,false
8520,,'to hide (oneself)',Calabrian,(a)mmucciare,false
5598,243,,German,Jagd,false
5858,5276,,Greek: Ancient,ὑγρός,false
3548,,,Lahnda,,false
8522,,"'throw, push, introduce'",Calabrian,mbuttare,false
9311,,,Persian,zan,false
6082,,,Italian,manco,false
9447,9424,,West Germanic,,false
7806,,Possibly borrowed into Albanian from the Latin root 'crem' (burn) with prefix 'ex-'. with vowel change in Albanian.,Albanian,shkrumb,false
9290,,,New Persian,āsiyāb kardan,false
8523,,'to sit' / 'stool',Calabrian,sédere OR setta,false
5697,2443,,Old French,"ront, reond, rond",true
4891,,"Cf. MParth. sy'w, Av. siiāuua- 'black'",Iranic,,false
7274,,,Middle English,botoun,false
6385,,"Latin machināre is denominal to machina 'engine, mechanical device', a loanword from (Doric) Greek",Greek: Ancient,μᾱχανᾱ́ / māchanā́,false
627,95,Cf. Av. karš- 'drag; plow',Iranic,,false
6169,,,Latin,asper,false
6508,,,English,to cuff,false
630,5668,cf. Sogdian krm’yr /lexeme/29363/,Iranic,,false
5348,,cf. Persian kūra 'fireplace; furnace',?Iranic,,false
6815,,"A denominal verb based on a noun of Celtic origin, cf. von Wartburg, FEW 6/3:197 for further discussion.",Gaulish,,false
8606,3436,,Persian,,false
3030,,Acc. Sg.,Latin,mentem,false
9602,,Cf. Macedonian плива,South Slavic,,false
8531,,"'small piece of paper, slip, leaflet'",Italian,foglietto,false
5925,,acc.sg.,Latin,canem,false
1171,,,Turkic,,false
8517,2071,,Calabrian,manca,false
8685,68,,Persian,xandīdan,false
9293,,,Central Iranic (aka. NW Iranic),*spiš-,false
9117,,,,,false
511,5322,Romance loanword (source?),Romance,*er(a),false
430,2071,,Romance,*manctus,false
5717,291,,Low German,"scharp, scherp",false
5617,1264,,Romance,*camba,false
9294,,,SW Iranic,*siš-,false
8519,840,,Calabrian,vombicare,false
8614,6098,"A loanword from neighbouring Dardic languages, cf. Turner 1962–1966:637 s.v. 10991  *laṣṭi- 'stick'",Dardic,,false
6749,915,,Old French or Middle English,person(e),false
5914,,,Turkish,keskin,false
8535,,"'seat, saddle'",Latin,sella,false
8616,,,Arabic,,false
4392,,"Probable loanword from Dravidian, cf.  Tamil kaluḻ- 'become turbid', Kannada kaluhe 'dirt'",Dravidian,,false
9295,7535,,Central Iranic (aka. NW Iranic),*zarita-,true
9395,,,Arabic,bayt,true
8526,,,Low German,denken,false
9371,,,,,false
8536,,"'seat, saddle'",Latin,sella,false
9390,,"original meaning ""brightly coloured""",Persian,rušt,false
8792,,,Arabic,,true
1954,,,,,false
9296,,,Central Iranic (aka. NW Iranic),*zam-,true
8847,1179,"only attested in the compound asā dāru ""stone wood i.e. ebony"", as such a loanword with Central Iranic (aka. NWIr.) s, came probably together with the product",Central Iranic (aka. NW Ir.),*asan-,false
6540,,,Sanskrit,chāyā-,true
9313,,,Venetian,zenere,false
9126,,,Aramaic,,false
9372,8164,,Persian (Tajik),paša,false
9391,,"original meaning ""destroyed, devastated""",Tajik,vayron,false
8538,,,South Slavic,,false
9297,,,Central Iranic (aka. NW Iranic),*zānūka-,true
8687,,,Turkish,,true
6313,,+ Alb. suffix(es),Latin,crux,false
9392,,,Indo-Aryan (?),,false
8528,8263,"'grit, (coarse) sand; sand ballast'",Latin,saburra,false
6539,,,Persian,سایه,false
443,,,Turkish,kafa,false
9394,,,,,false
9298,,,Central Iranic (aka. NW Iranic),*spai̯ta-,true
1981,,generally believed to be of Median origin,Central Iranic (aka. NWIr.),,false
8619,,,Persian,sāf,false
8799,1617,,,,false
8529,,"blow up, swell",Calabrian,uχχare,false
9299,,,Central Iranic (aka. NW Iranic),*asan-,true
9315,,,Italian,,false
9316,,,Italian,,false
9300,,,Central Iranic (aka. NW Iranic),*hizbān-,true
9317,5031,,Italian,,false
3049,,"Latin lancea is certainly a loanword in origin, but it's precise origins are unclear (cf. Ernout & Meillet 1985:339-340).",Celtic?,,false
9325,641,,Venetian,,false
9131,,,,,false
3365,,e.g. Georg. mc̣uxri 'dusk'; c̣uxva 'sadness',?Caucasian,,false
9322,6592,,Venetian,,false
9328,535,,Italian,,false
9329,946,,Venetian,,false
9331,953,,Italian,,false
9330,3063,,Venetian,,false
9327,7772,,Venetian,,false
9326,825,,Italian,,false
9324,815,,Venetian,,false
9323,283,,Venetian,,false
9321,,,894,,false
9320,782,,Italian,,false
9318,44,,Venetian,,false
9319,6493,,Venetian,,false
8542,,'to think',Calabrian,penzara,false
6468,,,Germanic,*stakka,false
9302,,,Central Iranic (aka. NW Iranic),*hanzu-,false
9457,,,,,false
9333,7563,,Italian,,false
9334,223,,Venetian,,false
9332,6505,,Venetian,,false
9136,,,Arabic,,true
9335,1274,,Venetian,,false
8543,,"'smooth, sleek, polished'",Italian,liscio [ˈliʃʃo],false
9396,,,"West Iranic language, probably Persian/Tajik",,false
8694,,,Arabic,,false
892,,,Greek: Ancient,κόλαφος / kólaphos,false
6691,,"A Balkan Wanderwort, cf. Albanian kopaç, Hungarian kopács.",Thraco-Dacian or Albanian,,false
6585,,,Slavic,,false
7359,,,Middle German,komen,false
6452,6542,,Old French,crier,false
8295,,,Greek: Ancient,κόλαφος / kólaphos,false
1403,,,Old Low Franconian,*bōtan,false
9139,,,,,false
5202,,,(Bavarian) German,"Krampel, Krämpel",false
9338,5163,,Slavic,,false
6148,1345,,Old Norse,drit,false
570,,"'bark; sheet of a book""",Syriac,qəlāfāʼ,false
5218,,It is sometimes claimed (cf. ESSJ) that the word is native (PS *but-).,Turkish,but,false
9339,6226,,Greek,,true
620,,e.g. Khinalug ḳɨt-ɨ́r 'nose',North Caucasian,,false
6309,6087,,Latin,arēna,false
8354,,'body',Slavic,*trupъ,false
6557,,,Germanic,*brekan-,false
654,,Cf. Sogdian βrʾwkʾ 'leprous',Iranic,,false
938,1546,,Greek: Ancient,πέτρα / pétra,false
9144,,,New Persian,mordār,false
400,,,Romance,*fluctulare,false
9382,,,Persian (Tajik),zad,false
8822,5226,,,,true
